"Stkcd","Ddate","BPS"
"000056","2004-12-31","0.772824"
"000056","2005-12-31","0.971802"
"000056","2009-12-31","0.612558"
"000056","2010-12-31","-0.678256"
"000056","2011-12-31","-1.754597"
"000056","2012-12-31","-1.832541"
"000056","2013-12-31","15.701730"
"000056","2014-12-31","11.037273"
"000056","2015-12-31","8.712926"
"000056","2016-12-31","4.799976"
"000056","2017-12-31","4.924443"
"000056","2018-12-31","4.941360"
"000056","2019-12-31","4.727204"
"000058","2002-12-31","2.347914"
"000058","2003-12-31","2.607116"
"000058","2009-12-31","1.409892"
"000058","2010-12-31","1.495397"
"000058","2011-12-31","1.684967"
"000058","2015-12-31","2.141115"
"000058","2016-12-31","2.240712"
"000058","2017-12-31","2.088707"
"000058","2018-12-31","1.982630"
"000059","2005-12-31","2.508300"
"000059","2006-12-31","2.724734"
"000059","2007-12-31","4.726463"
"000059","2008-12-31","5.015659"
"000059","2009-12-31","5.462054"
"000059","2010-12-31","5.512083"
"000059","2011-12-31","6.286010"
"000059","2012-12-31","6.154447"
"000059","2013-12-31","6.023497"
"000059","2014-12-31","5.927188"
"000059","2015-12-31","5.762863"
"000059","2016-12-31","6.929995"
"000059","2017-12-31","7.917956"
"000059","2018-12-31","8.586115"
"000059","2019-12-31","8.844416"
"000059","2020-12-31","8.823036"
"000059","2021-12-31","9.305807"
"000059","2022-12-31","9.442522"
"000060","2004-12-31","3.065573"
"000060","2005-12-31","3.543210"
"000060","2006-12-31","5.001117"
"000060","2007-12-31","5.146409"
"000060","2008-12-31","3.883238"
"000060","2009-12-31","4.616212"
"000060","2010-12-31","3.546128"
"000060","2011-12-31","3.229334"
"000060","2012-12-31","3.438322"
"000060","2013-12-31","3.071939"
"000060","2014-12-31","3.164377"
"000060","2015-12-31","3.565886"
"000060","2016-12-31","3.713208"
"000060","2017-12-31","4.372467"
"000060","2018-12-31","3.002213"
"000060","2019-12-31","3.183426"
"000060","2020-12-31","3.597390"
"000060","2021-12-31","3.770869"
"000060","2022-12-31","4.092287"
"000061","2004-12-31","4.541797"
"000061","2005-12-31","4.760015"
"000061","2006-12-31","5.120596"
"000061","2007-12-31","5.995289"
"000061","2008-12-31","7.540226"
"000061","2009-12-31","4.512630"
"000061","2010-12-31","4.915805"
"000061","2011-12-31","5.362531"
"000061","2012-12-31","3.123278"
"000061","2013-12-31","3.602732"
"000061","2014-12-31","3.627775"
"000061","2015-12-31","3.585667"
"000061","2016-12-31","3.682051"
"000061","2017-12-31","3.776723"
"000061","2018-12-31","3.883606"
"000061","2019-12-31","4.048249"
"000061","2020-12-31","4.180140"
"000061","2021-12-31","4.405749"
"000062","2009-12-31","2.539704"
"000062","2010-12-31","2.688693"
"000062","2011-12-31","2.653593"
"000062","2012-12-31","2.398939"
"000062","2013-12-31","3.003438"
"000062","2014-12-31","3.567621"
"000062","2015-12-31","5.100313"
"000062","2016-12-31","5.659217"
